correction_threshold,ftd_min_rally_day,stop_loss_pct,total_return,win_rate,total_trades,max_drawdown
-0.1,4,0.025,0.6373233024406386,0.3548387096774194,31,-0.1020621192566271
-0.1,3,0.025,0.6373233024406386,0.3548387096774194,31,-0.1020621192566271
-0.08,3,0.025,0.5932859033528322,0.35294117647058826,34,-0.10206211925662687
-0.08,4,0.025,0.5932859033528322,0.35294117647058826,34,-0.10206211925662687
-0.12,4,0.025,0.5408358442830339,0.3448275862068966,29,-0.10206211925662702
-0.12,3,0.025,0.5408358442830339,0.3448275862068966,29,-0.10206211925662702
-0.12,5,0.025,0.4941228321446114,0.35714285714285715,28,-0.09077915422174941
-0.1,5,0.025,0.4258915270738721,0.3333333333333333,30,-0.10748851202614834
-0.08,5,0.025,0.40095668140959195,0.3225806451612903,31,-0.10748851202614834
-0.1,4,0.015,0.3824707033128938,0.3548387096774194,31,-0.0915231752288178
-0.1,3,0.015,0.3824707033128938,0.3548387096774194,31,-0.0915231752288178
-0.12,5,0.015,0.35452665232832836,0.35714285714285715,28,-0.07518026616787929
-0.08,3,0.015,0.35430442870289425,0.35294117647058826,34,-0.09152317522881803
-0.08,4,0.015,0.35430442870289425,0.35294117647058826,34,-0.09152317522881803
-0.12,3,0.015,0.33180105323314524,0.3448275862068966,29,-0.0915231752288178
-0.12,4,0.015,0.33180105323314524,0.3448275862068966,29,-0.0915231752288178
-0.1,3,0.02,0.32293196181248796,0.3548387096774194,31,-0.10031484106541311
-0.1,4,0.02,0.32293196181248796,0.3548387096774194,31,-0.10031484106541311
-0.12,5,0.02,0.3179092119506699,0.35714285714285715,28,-0.08347948459234916
-0.1,5,0.015,0.3131577920583142,0.3333333333333333,30,-0.08943721643760794
-0.12,3,0.02,0.29464321795553206,0.3448275862068966,29,-0.0964398311921663
-0.12,4,0.02,0.29464321795553206,0.3448275862068966,29,-0.0964398311921663
-0.08,5,0.015,0.29019434339752115,0.3225806451612903,31,-0.08943721643760794
-0.08,3,0.02,0.2873504229181776,0.35294117647058826,34,-0.10031484106541297
-0.08,4,0.02,0.2873504229181776,0.35294117647058826,34,-0.10031484106541297
-0.1,5,0.02,0.257724959651231,0.3333333333333333,30,-0.1003148410654129
-0.08,5,0.02,0.23573087583661345,0.3225806451612903,31,-0.1003148410654129
