stockcode,max_date
CHPG2005,2020-09-29
CMWG2005,2020-09-29
CVNM2006,2020-10-01
CVHM2004,2020-10-01
CVIC2003,2020-10-01
CHDB2005,2020-10-01
CVJC2003,2020-10-01
CHDB2006,2020-10-06
CHPG2011,2020-10-16
DTN,2020-10-20
CREE2004,2020-10-21
CFPT2007,2020-10-21
CMWG2009,2020-10-21
CTCB2003,2020-10-22
CPNJ2003,2020-10-22
CMWG2006,2020-10-22
CMBB2005,2020-10-22
BDP,2020-10-26
CMSN2005,2020-10-27
CMBB2006,2020-10-27
CREE2003,2020-10-27
BM9,2020-10-27
CFPT2006,2020-10-27
CVHM2003,2020-10-27
CMWG2008,2020-10-27
CVRE2006,2020-10-27
CPNJ2005,2020-10-27
CVJC2002,2020-10-27
CTCB2006,2020-10-27
CVNM2005,2020-10-27
CVPB2007,2020-10-27
CHPG2009,2020-10-27
KTU,2020-10-29
CSTB2005,2020-10-30
CMBB2003,2020-11-05
CFPT2003,2020-11-05
CSTB2008,2020-11-18
CVPB2009,2020-11-18
CPNJ2007,2020-11-18
CTCB2005,2020-11-26
CVNM2004,2020-11-26
CHPG2008,2020-11-26
CVHM2002,2020-11-26
CSTB2004,2020-11-26
CVRE2005,2020-11-26
CVPB2006,2020-11-26
CMWG2007,2020-11-26
BDC,2020-11-27
CHPG2013,2020-11-27
CMSN2008,2020-12-03
CVNM2009,2020-12-03
KDF,2020-12-10
CHDB2003,2020-12-14
CHPG2002,2020-12-14
CVJC2001,2020-12-14
CSBT2001,2020-12-14
CCTD2001,2020-12-14
CVRE2003,2020-12-14
CDPM2002,2020-12-14
CNVL2001,2020-12-14
CVIC2001,2020-12-14
CVHM2001,2020-12-14
CSTB2002,2020-12-14
CVNM2002,2020-12-14
CMSN2001,2020-12-14
PBK,2020-12-14
CROS2002,2020-12-14
CSTB2009,2020-12-16
CHPG2019,2020-12-16
CMWG2011,2020-12-16
CTCB2008,2020-12-16
CFPT2009,2020-12-16
CMWG2014,2021-01-06
CHPG2023,2021-01-08
CTCB2007,2021-01-12
CHPG2016,2021-01-12
CVHM2005,2021-01-12
CMBB2007,2021-01-12
CVRE2008,2021-01-12
CVNM2008,2021-01-12
CMSN2006,2021-01-12
CPNJ2006,2021-01-12
CVPB2008,2021-01-12
CFPT2008,2021-01-12
CREE2005,2021-01-12
CMWG2010,2021-01-12
CHPG2012,2021-01-14
TTJ,2021-01-18
CVJC2005,2021-02-04
CVNM2010,2021-02-04
CVHM2007,2021-02-04
CPNJ2008,2021-02-04
CMWG2012,2021-02-04
CVPB2014,2021-02-05
CPNJ2010,2021-02-05
CTCB2011,2021-02-05
MDT,2021-02-05
CHPG2017,2021-02-09
CVRE2010,2021-02-09
CTCH2002,2021-02-09
CKDH2003,2021-02-09
CHPG2015,2021-02-25
CMSN2013,2021-02-25
CVNM2015,2021-02-25
CSTB2015,2021-02-26
CVIC2007,2021-02-26
CMSN2014,2021-02-26
CVNM2016,2021-02-26
MDN,2021-03-01
CVNM2007,2021-03-08
CNVL2002,2021-03-08
BHV,2021-03-09
CMBB2011,2021-03-10
CSTB2013,2021-03-10
CFPT2015,2021-03-18
CVPB2010,2021-03-26
CFPT2010,2021-03-26
CTCB2009,2021-03-26
CSTB2011,2021-03-26
CVNM2012,2021-03-26
CMSN2010,2021-03-26
CMBB2008,2021-03-26
