date,usdvnd_close,dxy_close,tnx_close,vnm_close,eem_close
2015-01-01,21375.0,,,,
2015-01-02,21063.0,91.08000183105469,2.122999906539917,18.989999771118164,38.77000045776367
2015-01-05,21046.0,91.37999725341797,2.0390000343322754,18.6299991607666,38.08000183105469
2015-01-06,21097.0,91.5,1.9630000591278076,18.889999389648438,37.91999816894531
2015-01-07,21083.0,91.88999938964844,1.9539999961853027,18.84000015258789,38.7400016784668
2015-01-08,21061.0,92.37000274658203,2.0160000324249268,18.860000610351562,39.400001525878906
2015-01-09,21021.0,91.94000244140625,1.9709999561309814,18.989999771118164,39.27000045776367
2015-01-12,21020.0,91.9800033569336,1.9119999408721924,18.850000381469727,38.95000076293945
2015-01-13,21005.0,92.30999755859375,1.8899999856948853,18.760000228881836,39.290000915527344
2015-01-14,20991.0,92.16000366210938,1.8370000123977661,18.610000610351562,39.06999969482422
2015-01-15,21007.0,92.3499984741211,1.774999976158142,18.6299991607666,39.15999984741211
2015-01-16,20988.0,92.5199966430664,1.815000057220459,18.860000610351562,39.4900016784668
2015-01-19,20993.0,,,,
2015-01-20,21004.0,93.05000305175781,1.8070000410079956,18.610000610351562,39.43000030517578
2015-01-21,21036.0,92.9000015258789,1.8530000448226929,18.3700008392334,40.29999923706055
2015-01-22,21009.0,94.23999786376953,1.8960000276565552,18.68000030517578,41.06999969482422
2015-01-23,20922.0,95.0,1.8170000314712524,18.649999618530273,40.7599983215332
2015-01-26,20982.0,94.80000305175781,1.8279999494552612,18.700000762939453,40.779998779296875
2015-01-27,20981.0,94.0199966430664,1.8250000476837158,18.329999923706055,40.560001373291016
2015-01-28,20988.0,94.47000122070312,1.7239999771118164,18.3799991607666,40.119998931884766
2015-01-29,20996.0,94.77999877929688,1.7510000467300415,18.450000762939453,40.119998931884766
2015-01-30,21074.0,94.80000305175781,1.6749999523162842,18.290000915527344,39.02000045776367
2015-02-02,20991.0,94.5,1.6729999780654907,18.43000030517578,39.720001220703125
2015-02-03,20973.0,93.5999984741211,1.7799999713897705,18.25,40.470001220703125
2015-02-04,21058.0,93.98999786376953,1.7970000505447388,18.309999465942383,40.27000045776367
2015-02-05,20979.0,94.69999694824219,1.815000057220459,18.899999618530273,40.5099983215332
2015-02-06,20978.0,94.69999694824219,1.937999963760376,18.829999923706055,39.81999969482422
2015-02-09,20961.0,94.44999694824219,1.9479999542236328,18.920000076293945,39.7599983215332
2015-02-10,20970.0,94.76000213623047,1.9910000562667847,18.829999923706055,39.65999984741211
2015-02-11,20968.0,94.98999786376953,1.9880000352859497,19.209999084472656,39.369998931884766
2015-02-12,20943.0,94.08999633789062,1.9859999418258667,19.56999969482422,40.209999084472656
2015-02-13,20986.0,94.19999694824219,2.0209999084472656,19.530000686645508,40.66999816894531
2015-02-16,20979.0,,,,
2015-02-17,21300.0,94.05999755859375,2.1449999809265137,19.770000457763672,40.58000183105469
2015-02-18,20972.0,94.19999694824219,2.065999984741211,19.59000015258789,40.56999969482422
2015-02-19,20987.0,94.4000015258789,2.11299991607666,19.489999771118164,40.400001525878906
2015-02-20,20957.0,94.25,2.132999897003174,19.639999389648438,40.66999816894531
2015-02-23,20975.0,94.56999969482422,2.059000015258789,19.549999237060547,40.2599983215332
2015-02-24,20978.0,94.48999786376953,1.9880000352859497,19.81999969482422,40.84000015258789
2015-02-25,21011.0,94.20999908447266,1.968999981880188,19.6200008392334,40.7599983215332
2015-02-26,21018.0,95.29000091552734,2.0160000324249268,19.670000076293945,40.77000045776367
2015-02-27,20984.0,95.25,2.002000093460083,19.6299991607666,40.7400016784668
2015-03-02,20989.0,95.45999908447266,2.0840001106262207,19.200000762939453,40.68000030517578
2015-03-03,20987.0,95.37999725341797,2.121999979019165,19.260000228881836,40.369998931884766
2015-03-04,21004.0,95.97000122070312,2.122999906539917,18.940000534057617,39.93000030517578
