date,signal,gain_loss_pct,dollar_becomes
11-11-1980,Buy,0,9.64
11-06-1980,Cash,,9.64
11-05-1980,Buy,-0.35,9.64
10-27-1980,Sell,-0.11,9.67
10-16-1980,Cash,,9.68
10-15-1980,Sell,-0.05,9.68
04-22-1980,Buy,46.95,9.68
04-16-1980,Cash,,6.59
04-15-1980,Sell,-0.53,6.59
04-07-1980,Cash,,6.62
04-02-1980,Buy,-1.8,6.62
02-13-1980,Sell,17.69,6.74
11-26-1979,Buy,16.22,5.73
11-26-1979,Cash,,4.93
11-20-1979,Sell,-0.55,4.93
11-14-1979,Cash,,4.96
11-13-1979,Sell,-0.37,4.96
11-09-1979,Buy,0.94,4.98
11-07-1979,Cash,,4.93
10-30-1979,Buy,0,4.93
10-09-1979,Sell,6.69,4.93
10-06-1979,Cash,,4.62
10-05-1979,Buy,-0.54,4.62
10-04-1979,Cash,,4.65
09-28-1979,Sell,-0.44,4.65
09-26-1979,Cash,,4.67
09-25-1979,Sell,-0.15,4.67
05-17-1979,Buy,14.44,4.68
05-03-1979,Sell,2.8,4.09
03-05-1979,Buy,7.6,3.98
02-02-1979,Sell,0.87,3.70
01-03-1979,Buy,5.63,3.67
12-22-1978,Cash,,3.47
12-18-1978,Sell,-1.73,3.47
12-18-1978,Cash,,3.53
12-01-1978,Buy,0,3.53
10-17-1978,Sell,11.28,3.53
03-10-1978,Buy,26.63,3.17
01-18-1978,Cash,,2.50
01-10-1978,Sell,-0.58,2.50
01-10-1978,Cash,,2.51
11-10-1977,Buy,0,2.51
10-12-1977,Sell,-0.15,2.51
10-07-1977,Cash,,2.51
09-08-1977,Sell,-0.23,2.51
09-08-1977,Cash,,2.52
08-23-1977,Sell,-0.3,2.52
08-22-1977,Cash,,2.53
08-16-1977,Sell,-0.36,2.53
08-10-1977,Cash,,2.54
08-09-1977,Sell,-0.17,2.54
08-05-1977,Cash,,2.54
08-02-1977,Sell,-0.3,2.54
06-03-1977,Buy,4.38,2.55
04-25-1977,Cash,,2.44
04-12-1977,Buy,-0.6,2.44
01-25-1977,Sell,2.06,2.45
11-18-1976,Buy,8.07,2.40
11-03-1976,Cash,,2.22
10-29-1976,Buy,-0.55,2.22
10-01-1976,Sell,0.1,2.23
10-01-1976,Cash,,2.23
09-16-1976,Buy,0,2.23
09-09-1976,Cash,,2.23
09-01-1976,Buy,0,2.23
09-01-1976,Cash,,2.23
08-23-1976,Sell,-0.59,2.24
06-11-1976,Buy,2.15,2.24
05-19-1976,Sell,1.73,2.19
05-14-1976,Cash,,2.15
05-10-1976,Buy,-0.44,2.15
04-27-1976,Sell,-0.63,2.16
04-20-1976,Buy,-0.7,2.17
04-09-1976,Cash,,2.19
03-16-1976,Buy,0,2.19
03-15-1976,Cash,,2.19
03-11-1976,Buy,-1.05,2.19
03-11-1976,Cash,,2.21
03-09-1976,Sell,-0.48,2.21
01-05-1976,Buy,15.27,2.22
12-02-1975,Sell,-0.94,1.93
10-03-1975,Buy,2.42,1.95
09-25-1975,Sell,0.79,1.90
09-19-1975,Buy,-0.38,1.89
09-09-1975,Sell,0.27,1.90
09-09-1975,Cash,,1.89
08-28-1975,Buy,-1.43,1.89
07-22-1975,Sell,8.94,1.92
01-09-1975,Buy,37.44,1.76
01-09-1975,Cash,,1.28
01-08-1975,Sell,-1.06,1.28
12-31-1974,Buy,2.81,1.29
12-31-1974,Cash,,1.25
12-23-1974,Sell,-1.16,1.25
12-23-1974,Cash,,1.26
12-17-1974,Buy,-0.91,1.26
12-05-1974,Sell,-0.44,1.27
12-03-1974,Cash,,1.28
11-26-1974,Buy,-1.39,1.28
11-12-1974,Sell,4.15,1.30
10-09-1974,Buy,13.53,1.25
09-27-1974,Sell,-0.79,1.10
09-26-1974,Cash,,1.11
09-19-1974,Buy,-1.93,1.11
08-08-1974,Sell,15.77,1.13
08-07-1974,Cash,,0.98
07-31-1974,Sell,-1.8,0.98
07-29-1974,Cash,,1.00
07-17-1974,Buy,0,1.00
