rs_formula,rs_threshold,n_within_high,hard_stop,slots,entry_option,CAGR,Sharpe_rf3,MaxDD,MaxDD_duration_days,hit_rate,turnover,total_cost_drag_pct,num_trades,avg_hold_days,sanity,error
weighted_roc,70.0,0.1,0.08,5,A,,,,,,,,,,ERROR,ArrowInvalid: Could not open Parquet input source '<Buffer>': Parquet magic bytes not found in footer. Either the file is corrupted or this is not a parquet file.
weighted_roc,70.0,0.1,0.08,5,C,0.06767988224276023,0.25615216090355036,-0.13573620991480667,185.0,0.5,3.516814835222171,3.8288856247417,28.0,57.607142857142854,OK,
weighted_roc,70.0,0.1,0.08,8,A,0.023482827002367035,-0.05899636955407513,-0.10546319140071427,189.0,0.4166666666666667,4.368218893939504,4.485848579604588,36.0,47.861111111111114,OK,
weighted_roc,70.0,0.1,0.08,8,C,0.05546988987240464,0.14886412872468385,-0.15964290913232693,184.0,0.43243243243243246,4.641164797739767,5.025837460850356,37.0,53.13513513513514,OK,
weighted_roc,60.0,0.1,0.07,5,A,0.06351005500617024,0.2876617485417296,-0.0858245823024212,186.0,0.5,3.5726611895405984,3.7730004096414276,30.0,46.93333333333333,OK,
weighted_roc,60.0,0.1,0.07,5,C,0.033763007290307234,0.03342830042671708,-0.11434613945944254,186.0,0.4594594594594595,4.62301853314252,4.834696989292951,37.0,37.32432432432432,OK,
weighted_roc,60.0,0.1,0.07,8,A,0.1149822845559132,0.5269815575474573,-0.121671348968052,185.0,0.5142857142857142,4.129296861690891,4.7209656686306865,35.0,57.42857142857143,OK,
weighted_roc,60.0,0.1,0.07,8,C,0.10102254858545923,0.28824227028684096,-0.21527535089029068,187.0,0.41304347826086957,5.707757332044075,6.434814254192421,46.0,42.97826086956522,OK,
weighted_roc,60.0,0.15,0.06,5,A,0.06634824710468346,0.31279178029630295,-0.08668418244410024,186.0,0.5,3.568535807009974,3.78364489389163,30.0,46.36666666666667,OK,
weighted_roc,60.0,0.15,0.06,5,C,0.010323551166303124,-0.1667665349451412,-0.16090389582176962,186.0,0.3877551020408163,6.190022036658012,6.417039278407154,49.0,31.897959183673468,OK,
weighted_roc,60.0,0.15,0.06,8,A,0.1142761026560346,0.5229144438006128,-0.12159258669726657,185.0,0.5142857142857142,4.129097274353395,4.715276722776225,35.0,57.31428571428572,OK,
weighted_roc,60.0,0.15,0.06,8,C,0.08128590044925721,0.2081200380686854,-0.21439357190296365,187.0,0.39285714285714285,7.161574526081968,8.040905009428021,56.0,37.55357142857143,OK,
weighted_roc,70.0,0.1,0.07,5,A,0.021346839572266463,-0.09115287243418928,-0.09163222085163147,203.0,0.4074074074074074,3.2435622323459263,3.291959253892353,27.0,48.2962962962963,OK,
weighted_roc,70.0,0.1,0.07,5,C,0.047076453818190034,0.13812486990242864,-0.15374255259083688,184.0,0.4666666666666667,3.7836198966430254,4.045356948222696,30.0,50.5,OK,
weighted_roc,70.0,0.1,0.07,8,A,0.011118190277167761,-0.1764591604106742,-0.10554067909389474,189.0,0.42105263157894735,4.617021500636011,4.656749567540984,38.0,42.68421052631579,OK,
weighted_roc,70.0,0.1,0.07,8,C,0.09135907607180216,0.3568702542308785,-0.16310496636697489,185.0,0.41025641025641024,4.805293166075848,5.340523948598537,39.0,52.07692307692308,OK,
weighted_roc,60.0,0.2,0.06,5,A,0.06634824710468346,0.31279178029630295,-0.08668418244410024,186.0,0.5,3.568535807009974,3.78364489389163,30.0,46.36666666666667,OK,
weighted_roc,60.0,0.2,0.06,5,C,0.02009149856700998,-0.08119677039637839,-0.1552320391370957,186.0,0.36538461538461536,6.560612275316253,6.821658175311333,52.0,32.82692307692308,OK,
weighted_roc,60.0,0.2,0.06,8,A,0.1142761026560346,0.5229144438006128,-0.12159258669726657,185.0,0.5142857142857142,4.129097274353395,4.715276722776225,35.0,57.31428571428572,OK,
weighted_roc,60.0,0.2,0.06,8,C,0.10762072368942976,0.3101710999141196,-0.21439357190296365,187.0,0.4426229508196721,7.849827229062088,8.894190735309827,61.0,38.49180327868852,OK,
weighted_roc,70.0,0.1,0.06,5,A,0.024006312916689643,-0.0634091293850707,-0.09137374741393654,202.0,0.4074074074074074,3.239396008320065,3.2999869982469168,27.0,47.666666666666664,OK,
weighted_roc,70.0,0.1,0.06,5,C,0.04535839970687672,0.1236402643809916,-0.13732275748473521,184.0,0.40625,4.034943873413734,4.299404910854881,32.0,47.65625,OK,
weighted_roc,70.0,0.1,0.06,8,A,0.008320601111949655,-0.2039383283565382,-0.10543543354971056,189.0,0.41025641025641024,4.731769766506884,4.750858615363086,39.0,41.0,OK,
weighted_roc,70.0,0.1,0.06,8,C,0.080939256475002,0.301243766404202,-0.14141151990574313,187.0,0.3902439024390244,5.082483066579606,5.587966387583066,41.0,47.90243902439025,OK,
weighted_roc,60.0,0.15,0.08,5,A,0.07539744126943204,0.3851517138055128,-0.08416742347065817,186.0,0.5384615384615384,3.1312086284654885,3.3746353811704126,26.0,53.19230769230769,OK,
weighted_roc,60.0,0.15,0.08,5,C,0.012165762794157597,-0.12921686372368762,-0.14744710073675155,187.0,0.36363636363636365,5.549574577913814,5.763557704544774,44.0,33.40909090909091,OK,
weighted_roc,60.0,0.15,0.08,8,A,0.12191743719600301,0.5757318412728606,-0.12149036177629279,185.0,0.53125,3.7970117790961884,4.391719508698065,32.0,61.59375,OK,
weighted_roc,60.0,0.15,0.08,8,C,0.09555407971740149,0.2487338522190097,-0.22937851583816518,186.0,0.40384615384615385,6.643088101936891,7.588592451395844,52.0,42.59615384615385,OK,
weighted_roc,70.0,0.15,0.08,5,A,0.06687227780513161,0.391301839290802,-0.07558617772031323,179.0,0.48,2.9666536898365794,3.1616302112168366,25.0,52.84,OK,
weighted_roc,70.0,0.15,0.08,5,C,0.03372518221741272,0.028650267955410893,-0.16076366789326063,187.0,0.37142857142857144,4.427165619389578,4.711145326374682,35.0,47.25714285714286,OK,
weighted_roc,70.0,0.15,0.08,8,A,0.023482827002367035,-0.05899636955407513,-0.10546319140071427,189.0,0.4166666666666667,4.368218893939504,4.485848579604588,36.0,47.861111111111114,OK,
weighted_roc,70.0,0.15,0.08,8,C,0.05660412745181942,0.15273007253552504,-0.22233802414135487,185.0,0.4418604651162791,5.478171614405045,6.038186830593013,43.0,49.325581395348834,OK,
weighted_roc,70.0,0.15,0.06,5,A,0.024006312916689643,-0.0634091293850707,-0.09137374741393654,202.0,0.4074074074074074,3.239396008320065,3.2999869982469168,27.0,47.666666666666664,OK,
weighted_roc,70.0,0.15,0.06,5,C,0.023488652677051913,-0.05923203720269555,-0.16737164706922047,187.0,0.425,5.077028694708698,5.347832282122349,40.0,39.175,OK,
weighted_roc,70.0,0.15,0.06,8,A,0.008320601111949655,-0.2039383283565382,-0.10543543354971056,189.0,0.41025641025641024,4.731769766506884,4.750858615363086,39.0,41.0,OK,
weighted_roc,70.0,0.15,0.06,8,C,0.09949826126813388,0.39619657413569803,-0.18975532710955964,185.0,0.45652173913043476,5.96317361324573,6.852550092263396,46.0,49.21739130434783,OK,
weighted_roc,60.0,0.15,0.07,5,A,0.06351005500617024,0.2876617485417296,-0.0858245823024212,186.0,0.5,3.5726611895405984,3.7730004096414276,30.0,46.93333333333333,OK,
weighted_roc,60.0,0.15,0.07,5,C,0.0036101653774844866,-0.23357485571745087,-0.16310109470268702,186.0,0.35555555555555557,5.666551441791709,5.8413159283061855,45.0,32.2,OK,
weighted_roc,60.0,0.15,0.07,8,A,0.1149822845559132,0.5269815575474573,-0.121671348968052,185.0,0.5142857142857142,4.129296861690891,4.7209656686306865,35.0,57.42857142857143,OK,
weighted_roc,60.0,0.15,0.07,8,C,0.08738878733571331,0.2320503351754865,-0.21484194113482963,186.0,0.38461538461538464,6.609033753146552,7.447470712272291,52.0,40.94230769230769,OK,
weighted_roc,60.0,0.2,0.07,5,A,0.06351005500617024,0.2876617485417296,-0.0858245823024212,186.0,0.5,3.5726611895405984,3.7730004096414276,30.0,46.93333333333333,OK,
weighted_roc,60.0,0.2,0.07,5,C,0.021054136863770223,-0.0743790883081087,-0.14081881961337966,186.0,0.3673469387755102,6.146122884705069,6.3730027715906425,49.0,34.30612244897959,OK,
weighted_roc,60.0,0.2,0.07,8,A,0.1149822845559132,0.5269815575474573,-0.121671348968052,185.0,0.5142857142857142,4.129296861690891,4.7209656686306865,35.0,57.42857142857143,OK,
weighted_roc,60.0,0.2,0.07,8,C,0.09910907280966197,0.27559264622982205,-0.21484194113482963,186.0,0.39655172413793105,7.472287670925799,8.472084039678231,58.0,40.91379310344828,OK,
weighted_roc,60.0,0.1,0.06,5,A,0.06634824710468346,0.31279178029630295,-0.08668418244410024,186.0,0.5,3.568535807009974,3.78364489389163,30.0,46.36666666666667,OK,
weighted_roc,60.0,0.1,0.06,5,C,0.013192246267572205,-0.14046910927631806,-0.15356036443606752,185.0,0.358974358974359,4.873427666744973,4.988576873504642,39.0,35.84615384615385,OK,
weighted_roc,60.0,0.1,0.06,8,A,0.1142761026560346,0.5229144438006128,-0.12159258669726657,185.0,0.5142857142857142,4.129097274353395,4.715276722776225,35.0,57.31428571428572,OK,
weighted_roc,60.0,0.1,0.06,8,C,0.10401668587231572,0.3014016648318663,-0.2154871911893609,187.0,0.425531914893617,5.863760056019113,6.6127417780973134,47.0,40.57446808510638,OK,
weighted_roc,60.0,0.1,0.08,5,A,0.07539744126943204,0.3851517138055128,-0.08416742347065817,186.0,0.5384615384615384,3.1312086284654885,3.3746353811704126,26.0,53.19230769230769,OK,
weighted_roc,60.0,0.1,0.08,5,C,0.04051774406850628,0.07514103423784717,-0.11923150343937329,187.0,0.4444444444444444,4.489327913409744,4.730025161363624,36.0,40.44444444444444,OK,
weighted_roc,60.0,0.1,0.08,8,A,0.12191743719600301,0.5757318412728606,-0.12149036177629279,185.0,0.53125,3.7970117790961884,4.391719508698065,32.0,61.59375,OK,
weighted_roc,60.0,0.1,0.08,8,C,0.12438001818790667,0.34073978745698413,-0.2468614820225844,186.0,0.46511627906976744,5.234115718457152,6.045047069042817,43.0,48.81395348837209,OK,
weighted_roc,60.0,0.2,0.08,5,A,0.07539744126943204,0.3851517138055128,-0.08416742347065817,186.0,0.5384615384615384,3.1312086284654885,3.3746353811704126,26.0,53.19230769230769,OK,
weighted_roc,60.0,0.2,0.08,5,C,0.032041346409926064,0.014178663944721918,-0.11891846209107745,187.0,0.375,6.0662195064411,6.3422933615139945,48.0,35.375,OK,
weighted_roc,60.0,0.2,0.08,8,A,0.12191743719600301,0.5757318412728606,-0.12149036177629279,185.0,0.53125,3.7970117790961884,4.391719508698065,32.0,61.59375,OK,
weighted_roc,60.0,0.2,0.08,8,C,0.11456231535997308,0.3186054011660322,-0.22937851583816518,186.0,0.43859649122807015,7.37992314683634,8.491654531921878,57.0,42.175438596491226,OK,
weighted_roc,70.0,0.15,0.07,5,A,0.021346839572266463,-0.09115287243418928,-0.09163222085163147,203.0,0.4074074074074074,3.2435622323459263,3.291959253892353,27.0,48.2962962962963,OK,
weighted_roc,70.0,0.15,0.07,5,C,0.016623919492347206,-0.12066409593902647,-0.1697515494760794,184.0,0.35135135135135137,4.664008689014659,4.8815670524822865,37.0,42.513513513513516,OK,
weighted_roc,70.0,0.15,0.07,8,A,0.011118190277167761,-0.1764591604106742,-0.10554067909389474,189.0,0.42105263157894735,4.617021500636011,4.656749567540984,38.0,42.68421052631579,OK,
weighted_roc,70.0,0.15,0.07,8,C,0.08154667430061968,0.2977013279147461,-0.20844871825701577,185.0,0.41304347826086957,5.86393384210303,6.56072898004036,46.0,46.97826086956522,OK,
weighted_roc,70.0,0.2,0.06,5,A,0.024006312916689643,-0.0634091293850707,-0.09137374741393654,202.0,0.4074074074074074,3.239396008320065,3.2999869982469168,27.0,47.666666666666664,OK,
weighted_roc,70.0,0.2,0.06,5,C,0.04635366290617027,0.14414483234034278,-0.1419248475257488,187.0,0.45454545454545453,5.606673627730581,5.961834288768948,44.0,39.61363636363637,OK,
weighted_roc,70.0,0.2,0.06,8,A,0.008320601111949655,-0.2039383283565382,-0.10543543354971056,189.0,0.41025641025641024,4.731769766506884,4.750858615363086,39.0,41.0,OK,
weighted_roc,70.0,0.2,0.06,8,C,0.13230161638456184,0.5689125490539239,-0.1599004524911245,185.0,0.52,6.5324292694483175,7.6101014256315604,50.0,50.02,OK,
weighted_roc,70.0,0.2,0.08,5,A,0.06687227780513161,0.391301839290802,-0.07558617772031323,179.0,0.48,2.9666536898365794,3.1616302112168366,25.0,52.84,OK,
weighted_roc,70.0,0.2,0.08,5,C,0.05133387245868204,0.16061733545389792,-0.13895495736562047,187.0,0.41025641025641024,4.966424979344339,5.316244161033564,39.0,46.05128205128205,OK,
weighted_roc,70.0,0.2,0.08,8,A,0.023482827002367035,-0.05899636955407513,-0.10546319140071427,189.0,0.4166666666666667,4.368218893939504,4.485848579604588,36.0,47.861111111111114,OK,
weighted_roc,70.0,0.2,0.08,8,C,0.07154963371945366,0.23350645451769905,-0.19180777025521084,185.0,0.4583333333333333,6.168005750293131,6.844129026190218,48.0,48.8125,OK,
weighted_roc,80.0,0.15,0.06,5,A,0.04549616496019904,0.15421531019289703,-0.07885064683827178,186.0,0.4230769230769231,3.1251898612707527,3.247653901072425,26.0,49.76923076923077,OK,
weighted_roc,80.0,0.15,0.06,5,C,-0.0006184952730219351,-0.26817769145968584,-0.16079255833034461,185.0,0.375,4.99307255353675,5.088350870902361,40.0,37.025,OK,
weighted_roc,80.0,0.15,0.06,8,A,0.021392922454799956,-0.07756682979783917,-0.09973937071983448,212.0,0.3235294117647059,4.129497364574921,4.181099748833361,34.0,44.0,OK,
