date,nav,cash,deployed_pct,open_slots
2014-01-02,1000000000.0,1000000000.0,0.0,0
2014-01-03,1000000000.0,1000000000.0,0.0,0
2014-01-06,1000000000.0,1000000000.0,0.0,0
2014-01-07,1000000000.0,1000000000.0,0.0,0
2014-01-08,1000000000.0,1000000000.0,0.0,0
2014-01-09,1000000000.0,1000000000.0,0.0,0
2014-01-10,1000000000.0,1000000000.0,0.0,0
2014-01-13,1000000000.0,1000000000.0,0.0,0
2014-01-14,1000000000.0,1000000000.0,0.0,0
2014-01-15,1000000000.0,1000000000.0,0.0,0
2014-01-16,1000000000.0,1000000000.0,0.0,0
2014-01-17,1000000000.0,1000000000.0,0.0,0
2014-01-20,1000000000.0,1000000000.0,0.0,0
2014-01-21,1000000000.0,1000000000.0,0.0,0
2014-01-22,1000000000.0,1000000000.0,0.0,0
2014-01-23,1000000000.0,1000000000.0,0.0,0
2014-01-24,1000000000.0,1000000000.0,0.0,0
2014-01-27,1000000000.0,1000000000.0,0.0,0
2014-02-06,1000000000.0,1000000000.0,0.0,0
2014-02-07,1000000000.0,1000000000.0,0.0,0
2014-02-10,1000000000.0,1000000000.0,0.0,0
2014-02-11,1000000000.0,1000000000.0,0.0,0
2014-02-12,1000000000.0,1000000000.0,0.0,0
2014-02-13,1000000000.0,1000000000.0,0.0,0
2014-02-14,1000000000.0,1000000000.0,0.0,0
2014-02-17,1000000000.0,1000000000.0,0.0,0
2014-02-18,1000000000.0,1000000000.0,0.0,0
2014-02-19,1000000000.0,1000000000.0,0.0,0
2014-02-20,1000000000.0,1000000000.0,0.0,0
2014-02-21,1000000000.0,1000000000.0,0.0,0
2014-02-24,1000000000.0,1000000000.0,0.0,0
2014-02-25,1000000000.0,1000000000.0,0.0,0
2014-02-26,1000000000.0,1000000000.0,0.0,0
2014-02-27,1000000000.0,1000000000.0,0.0,0
2014-02-28,1000000000.0,1000000000.0,0.0,0
2014-03-03,1000000000.0,1000000000.0,0.0,0
2014-03-04,1000000000.0,1000000000.0,0.0,0
2014-03-05,1000000000.0,1000000000.0,0.0,0
2014-03-06,1000000000.0,1000000000.0,0.0,0
2014-03-07,1000000000.0,1000000000.0,0.0,0
2014-03-10,1000000000.0,1000000000.0,0.0,0
2014-03-11,1000000000.0,1000000000.0,0.0,0
2014-03-12,1000000000.0,1000000000.0,0.0,0
2014-03-13,1000000000.0,1000000000.0,0.0,0
2014-03-14,1000000000.0,1000000000.0,0.0,0
2014-03-17,1000000000.0,1000000000.0,0.0,0
2014-03-18,1000000000.0,1000000000.0,0.0,0
2014-03-19,1000000000.0,1000000000.0,0.0,0
2014-03-20,1000000000.0,1000000000.0,0.0,0
2014-03-21,1000000000.0,1000000000.0,0.0,0
2014-03-24,1000000000.0,1000000000.0,0.0,0
2014-03-25,1000000000.0,1000000000.0,0.0,0
2014-03-26,1000000000.0,1000000000.0,0.0,0
2014-03-27,1000000000.0,1000000000.0,0.0,0
2014-03-28,1000000000.0,1000000000.0,0.0,0
2014-03-31,1000000000.0,1000000000.0,0.0,0
