c_yoy,a_cagr,n_proximity,hard_stop,slots,entry_option,CAGR,Sharpe_rf3,MaxDD,MaxDD_duration_days,hit_rate,turnover,total_cost_drag_pct,num_trades,avg_hold_days,sanity_flag,error
0.1,0.1,0.05,0.06,5,A,0.025624420873459286,-0.0355384878083914,-0.15920105486210587,383,0.5454545454545454,4.069631809895159,4.208303823523576,33,38.81818181818182,OK,
0.1,0.1,0.05,0.06,5,C,0.02335294542316335,-0.05177559117300148,-0.1694495815623552,382,0.4146341463414634,5.0512161588234425,5.133828984201615,41,32.80487804878049,OK,
0.1,0.1,0.05,0.06,8,A,0.023140367321171196,-0.05141702562633012,-0.16826413277298313,383,0.5263157894736842,4.710630403532994,4.853902194312038,38,36.71052631578947,OK,
0.1,0.1,0.05,0.06,8,C,0.019216632628400898,-0.07386907245770623,-0.18292619935355753,382,0.4117647058823529,6.232445139602548,6.279069471889656,51,31.823529411764707,OK,
0.1,0.1,0.1,0.1,8,A,0.017224827456301606,-0.09476982980436155,-0.168310663634147,383,0.5263157894736842,4.697784239192121,4.7970006988752,38,38.578947368421055,OK,
0.1,0.1,0.1,0.1,8,C,0.026046549756588933,-0.021530873334586493,-0.23050130917319045,382,0.4375,8.008922134659112,8.15839647268992,64,32.734375,OK,
0.1,0.1,0.1,0.1,10,A,0.017224827456301606,-0.09476982980436155,-0.168310663634147,383,0.5263157894736842,4.697784239192121,4.7970006988752,38,38.578947368421055,OK,
0.1,0.1,0.1,0.1,10,C,0.026046549756588933,-0.021530873334586493,-0.23050130917319045,382,0.4375,8.008922134659112,8.15839647268992,64,32.734375,OK,
0.1,0.1,0.1,0.06,10,A,0.023140367321171196,-0.05141702562633012,-0.16826413277298313,383,0.5263157894736842,4.710630403532994,4.853902194312038,38,36.71052631578947,OK,
0.1,0.1,0.1,0.06,10,C,0.03137508580256365,0.00879800628774312,-0.19758310095040998,382,0.4153846153846154,8.187298099415308,8.438689708159208,65,30.4,OK,
0.1,0.1,0.1,0.07,5,A,0.02422346228815564,-0.047191880897945765,-0.15852217164260282,383,0.53125,3.94117934247938,4.064245805805085,32,40.375,OK,
0.1,0.1,0.1,0.07,5,C,0.025158464522298196,-0.03727020183133827,-0.16338361960504183,382,0.3958333333333333,6.062542233111934,6.211277951264326,48,31.416666666666668,OK,
0.1,0.1,0.05,0.06,10,A,0.023140367321171196,-0.05141702562633012,-0.16826413277298313,383,0.5263157894736842,4.710630403532994,4.853902194312038,38,36.71052631578947,OK,
0.1,0.1,0.05,0.06,10,C,0.019216632628400898,-0.07386907245770623,-0.18292619935355753,382,0.4117647058823529,6.232445139602548,6.279069471889656,51,31.823529411764707,OK,
0.1,0.1,0.05,0.07,5,A,0.02422346228815564,-0.047191880897945765,-0.15852217164260282,383,0.53125,3.94117934247938,4.064245805805085,32,40.375,OK,
0.1,0.1,0.05,0.07,5,C,0.02230847882253917,-0.05996514775327228,-0.16939967032225073,382,0.41025641025641024,4.7969964220805785,4.869718824525211,39,34.717948717948715,OK,
0.1,0.1,0.05,0.07,8,A,0.022399912779199616,-0.0566774867953934,-0.16879763658557279,383,0.5263157894736842,4.702186843289607,4.836660274281451,38,37.973684210526315,OK,
0.1,0.1,0.05,0.07,8,C,0.017198272076660803,-0.08717362412840503,-0.1832263062301006,382,0.4117647058823529,6.203940813465345,6.232553841144308,51,33.03921568627451,OK,
0.1,0.1,0.05,0.07,10,A,0.022399912779199616,-0.0566774867953934,-0.16879763658557279,383,0.5263157894736842,4.702186843289607,4.836660274281451,38,37.973684210526315,OK,
0.1,0.1,0.05,0.07,10,C,0.017198272076660803,-0.08717362412840503,-0.1832263062301006,382,0.4117647058823529,6.203940813465345,6.232553841144308,51,33.03921568627451,OK,
