date,nav,cash,deployed_pct,open_slots
2019-01-02,1000000000.0,1000000000.0,0.0,0
2019-01-03,1000000000.0,1000000000.0,0.0,0
2019-01-04,1000000000.0,1000000000.0,0.0,0
2019-01-07,1000000000.0,1000000000.0,0.0,0
2019-01-08,1000000000.0,1000000000.0,0.0,0
2019-01-09,1000000000.0,1000000000.0,0.0,0
2019-01-10,1000000000.0,1000000000.0,0.0,0
2019-01-11,1000000000.0,1000000000.0,0.0,0
2019-01-14,1000000000.0,1000000000.0,0.0,0
2019-01-15,1000000000.0,1000000000.0,0.0,0
2019-01-16,1000000000.0,1000000000.0,0.0,0
2019-01-17,1000000000.0,1000000000.0,0.0,0
2019-01-18,1000000000.0,1000000000.0,0.0,0
2019-01-21,1000000000.0,1000000000.0,0.0,0
2019-01-22,1000000000.0,1000000000.0,0.0,0
2019-01-23,1000000000.0,1000000000.0,0.0,0
2019-01-24,1000000000.0,1000000000.0,0.0,0
2019-01-25,1000000000.0,1000000000.0,0.0,0
2019-01-28,1000000000.0,1000000000.0,0.0,0
2019-01-29,1000000000.0,1000000000.0,0.0,0
2019-01-30,1000000000.0,1000000000.0,0.0,0
2019-01-31,1000000000.0,1000000000.0,0.0,0
2019-02-01,1000000000.0,1000000000.0,0.0,0
2019-02-11,1000000000.0,1000000000.0,0.0,0
2019-02-12,1000000000.0,1000000000.0,0.0,0
2019-02-13,1000000000.0,1000000000.0,0.0,0
2019-02-14,1000000000.0,1000000000.0,0.0,0
2019-02-15,1000000000.0,1000000000.0,0.0,0
2019-02-18,1000000000.0,1000000000.0,0.0,0
2019-02-19,1000000000.0,1000000000.0,0.0,0
2019-02-20,1000000000.0,1000000000.0,0.0,0
2019-02-21,1000000000.0,1000000000.0,0.0,0
2019-02-22,1000000000.0,1000000000.0,0.0,0
2019-02-25,1000000000.0,1000000000.0,0.0,0
2019-02-26,1000000000.0,1000000000.0,0.0,0
2019-02-27,1000000000.0,1000000000.0,0.0,0
2019-02-28,1000000000.0,1000000000.0,0.0,0
2019-03-01,1000000000.0,1000000000.0,0.0,0
2019-03-04,1000000000.0,1000000000.0,0.0,0
2019-03-05,1000000000.0,1000000000.0,0.0,0
2019-03-06,1000000000.0,1000000000.0,0.0,0
2019-03-07,1000000000.0,1000000000.0,0.0,0
2019-03-08,1000000000.0,1000000000.0,0.0,0
2019-03-11,1000000000.0,1000000000.0,0.0,0
2019-03-12,1000000000.0,1000000000.0,0.0,0
2019-03-13,1000000000.0,1000000000.0,0.0,0
2019-03-14,1000000000.0,1000000000.0,0.0,0
2019-03-15,1000000000.0,1000000000.0,0.0,0
2019-03-18,1000000000.0,1000000000.0,0.0,0
2019-03-19,1000000000.0,1000000000.0,0.0,0
2019-03-20,1000000000.0,1000000000.0,0.0,0
2019-03-21,1000000000.0,1000000000.0,0.0,0
2019-03-22,1000000000.0,1000000000.0,0.0,0
2019-03-25,1000000000.0,1000000000.0,0.0,0
2019-03-26,1000000000.0,1000000000.0,0.0,0
2019-03-27,1000000000.0,1000000000.0,0.0,0
2019-03-28,1000000000.0,1000000000.0,0.0,0
2019-03-29,1000000000.0,1000000000.0,0.0,0
2019-04-01,1000000000.0,1000000000.0,0.0,0
2019-04-02,1000000000.0,1000000000.0,0.0,0
2019-04-03,1000000000.0,1000000000.0,0.0,0
2019-04-04,1000000000.0,1000000000.0,0.0,0
2019-04-05,1000000000.0,1000000000.0,0.0,0
2019-04-08,1000000000.0,1000000000.0,0.0,0
2019-04-09,1000000000.0,1000000000.0,0.0,0
