mode,rank,CAGR,Sharpe_rf3,MaxDD,MaxDD_duration_days,hit_rate,turnover,total_cost_drag_pct,num_trades,avg_hold_days
current-vn100,1,0.06227118915664831,0.44782086547369265,-0.10220654381910434,1007,0.45161290322580644,7.8218938119586685,9.552104389761574,62,33.03225806451613
current-vn100,2,0.05643107466943498,0.3805131864518802,-0.09656141019774869,1032,0.45614035087719296,7.247806791789025,8.884056080335593,57,33.526315789473685
current-vn100,3,0.05643107466943498,0.3805131864518802,-0.09656141019774869,1032,0.45614035087719296,7.247806791789025,8.884056080335593,57,33.526315789473685
liquidity-reconstructed,1,0.06078623159715901,0.06384299129541003,-0.25834749513145744,1561,0.4,8.222778882742508,10.812066920579623,65,34.04615384615385
liquidity-reconstructed,2,0.05649812563886858,0.05244316769292938,-0.27265843298883014,1498,0.42857142857142855,8.72355728729035,10.903696591702722,70,32.042857142857144
liquidity-reconstructed,3,0.05649812563886858,0.05244316769292938,-0.27265843298883014,1498,0.42857142857142855,8.72355728729035,10.903696591702722,70,32.042857142857144
vn30-only,1,0.041064318397259214,0.2676245130909138,-0.038189888249458924,970,0.6666666666666666,1.4414118375436271,1.5753147457810155,12,63.333333333333336
vn30-only,2,0.04210905275036336,0.3018364213842084,-0.03807632261237601,970,0.7272727272727273,1.3239434173436355,1.4551821291586997,11,68.36363636363636
vn30-only,3,0.04210905275036336,0.3018364213842084,-0.03807632261237601,970,0.7272727272727273,1.3239434173436355,1.4551821291586997,11,68.36363636363636
